Item Name,SKU,Categories,Permalink,Option Value 1,Description,Option Value 2,Option Value 3,Option Value 4,Reporting Category,Variation Name,Option Value 5,Option Value 6,Price
AI Summarize,ai.summarize.standard,Magnexis APIHub > Ai,api-ai-summarize,ai,"Condense long text into a concise, structured summary.",medium,none,free,Text Transform,standard,ai|standard,60,1.57
AI Summarize Fast,ai.summarize.fast,Magnexis APIHub > Ai,api-ai-summarize-fast,ai,"Condense long text into a concise, structured summary. Optimized for fast mode.",medium,none,pro,Text Transform,fast,ai|fast,60,1.68
AI Summarize Deep,ai.summarize.deep,Magnexis APIHub > Ai,api-ai-summarize-deep,ai,"Condense long text into a concise, structured summary. Optimized for deep mode.",medium,none,pro,Text Transform,deep,ai|deep,60,1.86
AI Summarize Strict,ai.summarize.strict,Magnexis APIHub > Ai,api-ai-summarize-strict,ai,"Condense long text into a concise, structured summary. Optimized for strict mode.",medium,none,pro,Text Transform,strict,ai|strict,60,1.84
AI Summarize Creative,ai.summarize.creative,Magnexis APIHub > Ai,api-ai-summarize-creative,ai,"Condense long text into a concise, structured summary. Optimized for creative mode.",medium,none,pro,Text Transform,creative,ai|creative,60,1.10
AI Summarize Compact,ai.summarize.compact,Magnexis APIHub > Ai,api-ai-summarize-compact,ai,"Condense long text into a concise, structured summary. Optimized for compact mode.",medium,none,pro,Text Transform,compact,ai|compact,60,1.12
AI Summarize Verbose,ai.summarize.verbose,Magnexis APIHub > Ai,api-ai-summarize-verbose,ai,"Condense long text into a concise, structured summary. Optimized for verbose mode.",medium,none,pro,Text Transform,verbose,ai|summary,60,1.37
AI Summarize Safe,ai.summarize.safe,Magnexis APIHub > Ai,api-ai-summarize-safe,ai,"Condense long text into a concise, structured summary. Optimized for safe mode.",medium,none,pro,Text Transform,safe,ai|safe,60,1.33
AI Summarize Adaptive,ai.summarize.adaptive,Magnexis APIHub > Ai,api-ai-summarize-adaptive,ai,"Condense long text into a concise, structured summary. Optimized for adaptive mode.",medium,none,pro,Text Transform,adaptive,adaptive|ai,60,1.91
AI Summarize Batch,ai.summarize.batch,Magnexis APIHub > Ai,api-ai-summarize-batch,ai,"Condense long text into a concise, structured summary. Optimized for batch mode.",medium,none,pro,Text Transform,batch,ai|batch,60,1.84
AI Rewrite,ai.rewrite.standard,Magnexis APIHub > Ai,api-ai-rewrite,ai,Rewrite content with a different tone or structure.,medium,none,free,Text Transform,standard,ai|rewrite,60,1.91
AI Rewrite Fast,ai.rewrite.fast,Magnexis APIHub > Ai,api-ai-rewrite-fast,ai,Rewrite content with a different tone or structure. Optimized for fast mode.,medium,none,pro,Text Transform,fast,ai|fast,60,1.75
AI Rewrite Deep,ai.rewrite.deep,Magnexis APIHub > Ai,api-ai-rewrite-deep,ai,Rewrite content with a different tone or structure. Optimized for deep mode.,medium,none,pro,Text Transform,deep,ai|deep,60,1.34
