Item Name,SKU,Categories,Permalink,Option Value 1,Description,Option Value 2,Option Value 3,Option Value 4,Reporting Category,Variation Name,Option Value 5,Option Value 6,Price
Spire Blend Ledger Retail 0656 Creative,finance.gen-finance-spire-blend-ledger-retail-0656.creative,Magnexis APIHub > Finance,api-finance-gen-finance-spire-blend-ledger-retail-0656-creative,finance,Spire Blend Ledger Retail 0656 orchestrates deterministic routing results for finance workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Routing,creative,blend|creative,45,24.70
Spire Blend Ledger Retail 0656 Compact,finance.gen-finance-spire-blend-ledger-retail-0656.compact,Magnexis APIHub > Finance,api-finance-gen-finance-spire-blend-ledger-retail-0656-compact,finance,Spire Blend Ledger Retail 0656 orchestrates deterministic routing results for finance workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Routing,compact,blend|compact,45,25.11
Spire Blend Ledger Retail 0656 Verbose,finance.gen-finance-spire-blend-ledger-retail-0656.verbose,Magnexis APIHub > Finance,api-finance-gen-finance-spire-blend-ledger-retail-0656-verbose,finance,Spire Blend Ledger Retail 0656 orchestrates deterministic routing results for finance workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Routing,verbose,blend|finance,45,25.22
Spire Blend Ledger Retail 0656 Safe,finance.gen-finance-spire-blend-ledger-retail-0656.safe,Magnexis APIHub > Finance,api-finance-gen-finance-spire-blend-ledger-retail-0656-safe,finance,Spire Blend Ledger Retail 0656 orchestrates deterministic routing results for finance workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Routing,safe,blend|finance,45,24.54
Spire Blend Ledger Retail 0656 Adaptive,finance.gen-finance-spire-blend-ledger-retail-0656.adaptive,Magnexis APIHub > Finance,api-finance-gen-finance-spire-blend-ledger-retail-0656-adaptive,finance,Spire Blend Ledger Retail 0656 orchestrates deterministic routing results for finance workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Routing,adaptive,adaptive|blend,45,24.84
Spire Blend Ledger Retail 0656 Batch,finance.gen-finance-spire-blend-ledger-retail-0656.batch,Magnexis APIHub > Finance,api-finance-gen-finance-spire-blend-ledger-retail-0656-batch,finance,Spire Blend Ledger Retail 0656 orchestrates deterministic routing results for finance workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Routing,batch,batch|blend,45,25.13
Aurora Stack Ledger Retail 0657,security.gen-security-aurora-stack-ledger-retail-0657.standard,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios.,high,none,pro,Profiling,standard,aurora|gen-656,30,24.50
Aurora Stack Ledger Retail 0657 Fast,security.gen-security-aurora-stack-ledger-retail-0657.fast,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657-fast,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Profiling,fast,aurora|fast,20,24.63
Aurora Stack Ledger Retail 0657 Deep,security.gen-security-aurora-stack-ledger-retail-0657.deep,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657-deep,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Profiling,deep,aurora|deep,20,24.62
Aurora Stack Ledger Retail 0657 Strict,security.gen-security-aurora-stack-ledger-retail-0657.strict,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657-strict,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Profiling,strict,aurora|gen-656,20,24.59
Aurora Stack Ledger Retail 0657 Creative,security.gen-security-aurora-stack-ledger-retail-0657.creative,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657-creative,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Profiling,creative,aurora|creative,20,24.52
Aurora Stack Ledger Retail 0657 Compact,security.gen-security-aurora-stack-ledger-retail-0657.compact,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657-compact,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Profiling,compact,aurora|compact,20,24.44
Aurora Stack Ledger Retail 0657 Verbose,security.gen-security-aurora-stack-ledger-retail-0657.verbose,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657-verbose,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Profiling,verbose,aurora|gen-656,20,25.01
Aurora Stack Ledger Retail 0657 Safe,security.gen-security-aurora-stack-ledger-retail-0657.safe,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657-safe,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Profiling,safe,aurora|gen-656,20,25.04
Aurora Stack Ledger Retail 0657 Adaptive,security.gen-security-aurora-stack-ledger-retail-0657.adaptive,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657-adaptive,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Profiling,adaptive,adaptive|aurora,20,25.38
Aurora Stack Ledger Retail 0657 Batch,security.gen-security-aurora-stack-ledger-retail-0657.batch,Magnexis APIHub > Security,api-security-gen-security-aurora-stack-ledger-retail-0657-batch,security,Aurora Stack Ledger Retail 0657 orchestrates deterministic profiling results for security workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Profiling,batch,aurora|batch,20,24.84
Lattice Stack Ledger Retail 0658,web.gen-web-lattice-stack-ledger-retail-0658.standard,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios.,low,none,free,Monitoring,standard,gen-657|lattice,90,25.30
Lattice Stack Ledger Retail 0658 Fast,web.gen-web-lattice-stack-ledger-retail-0658.fast,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658-fast,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Monitoring,fast,fast|gen-657,75,24.55
Lattice Stack Ledger Retail 0658 Deep,web.gen-web-lattice-stack-ledger-retail-0658.deep,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658-deep,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Monitoring,deep,deep|gen-657,75,25.20
Lattice Stack Ledger Retail 0658 Strict,web.gen-web-lattice-stack-ledger-retail-0658.strict,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658-strict,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Monitoring,strict,gen-657|lattice,75,24.54
Lattice Stack Ledger Retail 0658 Creative,web.gen-web-lattice-stack-ledger-retail-0658.creative,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658-creative,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Monitoring,creative,creative|gen-657,75,24.98
Lattice Stack Ledger Retail 0658 Compact,web.gen-web-lattice-stack-ledger-retail-0658.compact,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658-compact,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios. Optimized for compact mode.,low,none,pro,Monitoring,compact,compact|gen-657,75,25.05
Lattice Stack Ledger Retail 0658 Verbose,web.gen-web-lattice-stack-ledger-retail-0658.verbose,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658-verbose,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios. Optimized for verbose mode.,low,none,pro,Monitoring,verbose,gen-657|lattice,75,24.85
Lattice Stack Ledger Retail 0658 Safe,web.gen-web-lattice-stack-ledger-retail-0658.safe,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658-safe,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios. Optimized for safe mode.,low,none,pro,Monitoring,safe,gen-657|lattice,75,24.88
Lattice Stack Ledger Retail 0658 Adaptive,web.gen-web-lattice-stack-ledger-retail-0658.adaptive,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658-adaptive,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios. Optimized for adaptive mode.,low,none,pro,Monitoring,adaptive,adaptive|gen-657,75,24.90
Lattice Stack Ledger Retail 0658 Batch,web.gen-web-lattice-stack-ledger-retail-0658.batch,Magnexis APIHub > Web,api-web-gen-web-lattice-stack-ledger-retail-0658-batch,web,Lattice Stack Ledger Retail 0658 orchestrates deterministic monitoring results for web workflows in retail scenarios. Optimized for batch mode.,low,none,pro,Monitoring,batch,batch|gen-657,75,25.51
Vector Stack Ledger Retail 0659,media.gen-media-vector-stack-ledger-retail-0659.standard,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios.,medium,none,free,Simulation,standard,gen-658|ledger,60,24.65
