Item Name,SKU,Categories,Permalink,Option Value 1,Description,Option Value 2,Option Value 3,Option Value 4,Reporting Category,Variation Name,Option Value 5,Option Value 6,Price
Atlas Shape Stream Retail 1389 Adaptive,sim.gen-sim-atlas-shape-stream-retail-1389.adaptive,Magnexis APIHub > Sim,api-sim-gen-sim-atlas-shape-stream-retail-1389-adaptive,sim,Atlas Shape Stream Retail 1389 orchestrates deterministic profiling results for sim workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Profiling,adaptive,adaptive|atlas,20,47.83
Atlas Shape Stream Retail 1389 Batch,sim.gen-sim-atlas-shape-stream-retail-1389.batch,Magnexis APIHub > Sim,api-sim-gen-sim-atlas-shape-stream-retail-1389-batch,sim,Atlas Shape Stream Retail 1389 orchestrates deterministic profiling results for sim workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Profiling,batch,atlas|batch,20,48.40
Forge Shape Stream Retail 1390,edu.gen-edu-forge-shape-stream-retail-1390.standard,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios.,low,none,free,Monitoring,standard,edu|forge,90,48.32
Forge Shape Stream Retail 1390 Fast,edu.gen-edu-forge-shape-stream-retail-1390.fast,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390-fast,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Monitoring,fast,edu|fast,75,48.54
Forge Shape Stream Retail 1390 Deep,edu.gen-edu-forge-shape-stream-retail-1390.deep,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390-deep,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Monitoring,deep,deep|edu,75,48.37
Forge Shape Stream Retail 1390 Strict,edu.gen-edu-forge-shape-stream-retail-1390.strict,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390-strict,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Monitoring,strict,edu|forge,75,47.96
Forge Shape Stream Retail 1390 Creative,edu.gen-edu-forge-shape-stream-retail-1390.creative,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390-creative,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Monitoring,creative,creative|edu,75,48.00
Forge Shape Stream Retail 1390 Compact,edu.gen-edu-forge-shape-stream-retail-1390.compact,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390-compact,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios. Optimized for compact mode.,low,none,pro,Monitoring,compact,compact|edu,75,48.28
Forge Shape Stream Retail 1390 Verbose,edu.gen-edu-forge-shape-stream-retail-1390.verbose,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390-verbose,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios. Optimized for verbose mode.,low,none,pro,Monitoring,verbose,edu|forge,75,48.63
Forge Shape Stream Retail 1390 Safe,edu.gen-edu-forge-shape-stream-retail-1390.safe,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390-safe,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios. Optimized for safe mode.,low,none,pro,Monitoring,safe,edu|forge,75,48.46
